name	clade	group
jaNemVect1_chr_8_001056.1	Invertebrates	CENPA
ibEctPall_ENA|OZ060426|OZ060426.1_002102.1	Invertebrates	CENPA
ieCloDipt_ENA|OX451259|OX451259.1_003690.1	Invertebrates	CENPA
ieProBifi_ENA|OZ259029|OZ259029.1_000982.1	Invertebrates	CENPA
ieEcdTorr_ENA|OX439129|OX439129.1_002001.1	Invertebrates	H3
ieSipAlte_ENA|OX463780|OX463780.1_001724.1	Invertebrates	CENPA
ieSipAlte_ENA|OX463781|OX463781.1_002064.1	Invertebrates	CENPA
kaAplTurb1_chr_15_000177.1	Invertebrates	CENPA
icOcyOlen1_chr_6_000584.1	Invertebrates	CENPA
icNicInve_ENA|OY735145|OY735145.1_000124.1	Invertebrates	CENPA
icNicInve_ENA|OY735145|OY735145.1_001118.1	Invertebrates	CENPA
icSilAtra2_chr_5_001094.1	Invertebrates	CENPA
icSilAtra2_chr_5_001090.1	Invertebrates	CENPA
icSilAtra2_chr_5_001095.1	Invertebrates	CENPA
icSilAtra2_chr_5_001091.1	Invertebrates	CENPA
icMalBipu1_chr_7_001980.1	Invertebrates	CENPA
icQueLate_ENA|OZ202138|OZ202138.1_000095.1	Invertebrates	CENPA
icQueLate_ENA|OZ202138|OZ202138.1_000096.1	Invertebrates	CENPA
icPhiCogn1_chr_2_000231.1	Invertebrates	CENPA
icApoCory1_chr_13_000947.1	Invertebrates	CENPA
icApoCory1_chr_3_000392.1	Invertebrates	CENPA
icApoCory1_scf_70_000004.1	Invertebrates	CENPA
icApoCory1_chr_16_000686.1	Invertebrates	CENPA
icNebBrev1_chr_X_000480.1	Invertebrates	CENPA
icNebSali1_chr_X_001400.1	Invertebrates	CENPA
idBomDisc1_chr_5_001452.1	Invertebrates	CENPA
idBomDisc1_chr_3_001611.1	Invertebrates	CENPA
idNepFlae1_chr_2_002454.1	Invertebrates	CENPA
idNepFlae1_chr_2_002456.1	Invertebrates	CENPA
idBibMarc1_chr_1_003965.1	Invertebrates	CENPA
idAcrOrbc_ENA|OX375757|OX375757.1_003946.1	Invertebrates	CENPA
idAthIbis_ENA|OY282608|OY282608.2_000202.1	Invertebrates	CENPA
idAntAnth_ENA|OZ020117|OZ020117.1_000057.1	Invertebrates	CENPA
idAntAnth_ENA|OZ020118|OZ020118.1_000838.1	Invertebrates	CENPA
idEpiSucc1_chr_1_000420.1	Invertebrates	CENPA
idPolAmen1_chr_3_001301.1	Invertebrates	CENPA
idPolAmen1_chr_5_003564.1	Invertebrates	CENPA
idBelPand1_chr_4_000362.1	Invertebrates	CENPA
idProAzur1_chr_5_001012.1	Invertebrates	CENPA
idProAzur1_chr_5_002429.1	Invertebrates	CENPA
idMelRora_ENA|OY757189|OY757189.1_001146.1	Invertebrates	CENPA
idStoLuna1_chr_3_001452.1	Invertebrates	CENPA
idPhyMeln1_chr_3_003265.1	Invertebrates	CENPA
idHydCyrt_ENA|OY282513|OY282513.1_000785.1	Invertebrates	CENPA
idMacAtri3_chr_3_000129.1	Invertebrates	CENPA
idPamGerm_ENA|OZ271770|OZ271770.1_002373.1	Invertebrates	CENPA
idSyrPipi1_chr_1_005668.1	Invertebrates	CENPA
idSphTaen1_chr_1_003521.1	Invertebrates	CENPA
idSphTaen1_chr_1_004640.1	Invertebrates	CENPA
idSphTaen1_chr_3_003127.1	Invertebrates	CENPA
idPheCory1_chr_3_002281.1	Invertebrates	CENPA
idCluTigr1_chr_3_002555.1	Invertebrates	CENPA
idPheCory1_chr_4_004047.1	Invertebrates	CENPA
idSicFerr1_chr_X_001254.1	Invertebrates	CENPA
idCluTigr1_chr_1_005434.1	Invertebrates	CENPA
idHydCyrt_ENA|OY282516|OY282516.1_003117.1	Invertebrates	CENPA
idGymRotn1_chr_4_000249.1	Invertebrates	CENPA
idStoLuna1_chr_5_001561.1	Invertebrates	CENPA
idTacFera2_chr_5_003539.1	Invertebrates	CENPA
idSarRose1_chr_5_000019.1	Invertebrates	CENPA
idPhyMeln1_chr_5_000338.1	Invertebrates	CENPA
idMelRora_ENA|OY757191|OY757191.1_002937.1	Invertebrates	CENPA
idBelPand1_chr_5_001847.1	Invertebrates	CENPA
idProAzur1_chr_3_003119.1	Invertebrates	CENPA
ipLeuNigr2_chr_4_001830.1	Invertebrates	CENPA
icAgrMuri1_chr_1_001435.1	Invertebrates	CENPA
icAgrMuri1_chr_X_001432.1	Invertebrates	CENPA
icRhaFulv1_chr_4_001423.1	Invertebrates	CENPA
icCanRust1_chr_5_001214.1	Invertebrates	CENPA
icPodAlpi1_chr_4_001967.1	Invertebrates	CENPA
icAgrCyan_ENA|OX376705|OX376705.1_000328.1	Invertebrates	CENPA
icCetAura_ENA|OX421884|OX421884.1_001655.1	Invertebrates	CENPA
icMelMelo1_chunk1_chr_2_007509.1	Invertebrates	CENPA
icMelMelo1_chunk1_chr_2_002670.1	Invertebrates	CENPA
icMelMelo1_chunk1_chr_2_000315.1	Invertebrates	CENPA
icCocSept1_chr_5_001216.1	Invertebrates	CENPA
icHarAxyr1_chr_5_000796.1	Invertebrates	CENPA
icAgoFuli_ENA|OX384032|OX384032.1_000698.1	Invertebrates	CENPA
icOphArdo1_chr_15_000012.1	Invertebrates	CENPA
icOphArdo1_chr_9_001253.1	Invertebrates	CENPA
icOphArdo1_chr_12_001024.1	Invertebrates	CENPA
icPteMadi1_chr_5_000656.1	Invertebrates	CENPA
icCarProb_ENA|OY728582|OY728582.1_000098.1	Invertebrates	CENPA
icNebBrev1_chr_10_000503.1	Invertebrates	CENPA
icNebSali1_chr_9_000388.1	Invertebrates	CENPA
icLeiSpin1_chr_3_000647.1	Invertebrates	CENPA
icNebBrev1_chr_12_000214.1	Invertebrates	CENPA
icNebSali1_chr_18_000201.1	Invertebrates	CENPA
icNebBrev1_chr_6_000281.1	Invertebrates	CENPA
icNebBrev1_chr_6_000513.1	Invertebrates	CENPA
iyAthRosa1_chr_2_002289.1	Invertebrates	CENPA
iyLasVill_ENA|OZ020497|OZ020497.1_000536.1	Invertebrates	CENPA
iyAncNigr1_rescue8	Invertebrates	CENPA
iyAbiCand_ENA|OZ125712|OZ125712.1_000871.1	Invertebrates	CENPA
iyMacAlbo_ENA|OX451212|OX451212.1_000425.1	Invertebrates	CENPA
iyRhoChlo1_chr_4_000722.1	Invertebrates	CENPA
iyTipFemo1_chr_5_000920.1	Invertebrates	CENPA
iyAnoNige1_chr_7_000861.1	Invertebrates	CENPA
iyPriPert_ENA|OZ012653|OZ012653.1_000800.1	Invertebrates	CENPA
iyOphLute1_chr_2_000535.1	Invertebrates	CENPA
iyBuaLabo1_chr_5_000387.1	Invertebrates	CENPA
iyAmbArma2_chr_12_000278.1	Invertebrates	CENPA
iyVulBima_ENA|OZ249107|OZ249107.1_000472.1	Invertebrates	CENPA
iyEctCont1_chr_7_000268.1	Invertebrates	CENPA
iyMimDahl1_chr_13_000168.1	Invertebrates	CENPA
iyNysSpin1_chr_14_000228.1	Invertebrates	CENPA
iyCerRyby1_chr_6_000352.1	Invertebrates	CENPA
iyPemLugu_ENA|OW121818|OW121818.1_000487.1	Invertebrates	CENPA
iyMacEuro1_chr_9_000238.1	Invertebrates	CENPA
iyAndDors1_rescue9	Invertebrates	CENPA
iyNomFabr1_chr_2_000082.1	Invertebrates	CENPA
iyBomHypn1_chr_11_000788.1	Invertebrates	CENPA
iyCoeConi_ENA|OX392454|OX392454.1_000765.1	Invertebrates	CENPA
iyStePhae1_chr_4_000572.1	Invertebrates	CENPA
xgBioGlab47_SUPER_9_000930.1	Invertebrates	CENPA
tzCryPall5_rescue11	Invertebrates	CENPA
tzCryPall5_rescue12	Invertebrates	CENPA
gyLeoLubr_ENA|OZ251269|OZ251269.1_001509.1	Fungi	CENPA
grLepFlav_ENA|OY756934|OY756934.1_000276.1	Fungi	CENPA
grSimLame_ENA|OZ124170|OZ124170.1_001450.1	Fungi	CENPA
grTriPseu1_chr_1_001731.1	Fungi	CENPA
gdRhiKalk_ENA|OZ066571|OZ066571.1_000618.1	Fungi	CENPA
glUmbDeus_ENA|OZ203553|OZ203553.1_000040.1	Fungi	CENPA
gpAraPeru_ENA|OX453235|OX453235.1_001116.1	Fungi	CENPA
glFlaMari_ENA|OZ245344|OZ245344.1_000366.1	Fungi	CENPA
glRamSili_ENA|OZ244601|OZ244601.1_000145.1	Fungi	CENPA
glClaSqua_ENA|OX392377|OX392377.1_000406.1	Fungi	CENPA
glPlaGlau_ENA|OY745767|OY745767.1_000113.1	Fungi	CENPA
gfTauPull_ENA|OX637621|OX637621.1_000414.1	Fungi	CENPA
gfFlaVelt_ENA|OX246725|OX246725.2_000559.1	Fungi	CENPA
gzEntParv_ENA|OY752141|OY752141.1_001087.1	Fungi	CENPA
gfClaFumo_ENA|OX637797|OX637797.1_001227.1	Fungi	CENPA
gfAurGent_ENA|OZ219433|OZ219433.1_000391.1	Fungi	CENPA
gfButSuba_ENA|OZ171983|OZ171983.1_000285.1	Fungi	CENPA
gfPhaAlbo_ENA|OZ244511|OZ244511.1_001311.1	Fungi	CENPA
gfRamCorn_ENA|OZ204861|OZ204861.1_000494.1	Fungi	CENPA
gfCorTriu_ENA|OZ254914|OZ254914.1_001427.1	Fungi	CENPA
gfCopMica_ENA|OX596337|OX596337.1_000468.1	Fungi	CENPA
gfHygPuni_ENA|OY744464|OY744464.1_000972.1	Fungi	CENPA
gfGliIrri_ENA|OZ209112|OZ209112.1_000922.1	Fungi	CENPA
gfPorCaly_ENA|OX621163|OX621163.1_001385.1	Fungi	CENPA
gfPleOstr1_SUPER_4_000490.1	Fungi	CENPA
gfSpaMino_ENA|OZ241197|OZ241197.1_000468.1	Fungi	CENPA
gfLaeSulp1_chr_3_001113.1	Fungi	CENPA
gfBolQuer_ENA|OZ037959|OZ037959.1_000523.1	Fungi	CENPA
gfGanResi_ENA|OZ026793|OZ026793.1_000441.1	Fungi	CENPA
gfHerErin_ENA|OZ255410|OZ255410.1_001154.1	Fungi	CENPA
gfLacBlen_ENA|OZ173892|OZ173892.1_001889.1	Fungi	CENPA
gfRusVesc_ENA|OZ222408|OZ222408.1_000501.1	Fungi	CENPA
gfVolSurr_ENA|OX637785|OX637785.1_000318.1	Fungi	CENPA
gfLepSord_ENA|OZ173907|OZ173907.1_000405.1	Fungi	CENPA
gfTriHemi_ENA|OZ035929|OZ035929.1_004158.1	Fungi	CENPA
gfEntClyp_ENA|OY751494|OY751494.2_001237.1	Fungi	CENPA
gfPanStip_ENA|OZ234881|OZ234881.1_000994.1	Fungi	CENPA
xbLimFort5_chr_4_003510.1	Invertebrates	CENPA
